Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2019/10/15, 22:00:00, 1.1111, 1.1113, 1.1109, 1.1110, 63, 50, 28, 35
2019/10/16, 02:00:00, 1.1109, 1.1110, 1.1102, 1.1108, 80, 76, 42, 38
2019/10/16, 06:00:00, 1.1108, 1.1139, 1.1107, 1.1115, 932, 775, 485, 447
2019/10/16, 10:00:00, 1.1114, 1.1127, 1.1100, 1.1120, 1662, 1241, 871, 791
2019/10/16, 14:00:00, 1.1120, 1.1164, 1.1118, 1.1160, 1364, 1029, 600, 764
2019/10/16, 18:00:00, 1.1161, 1.1161, 1.1144, 1.1150, 432, 362, 214, 218
2019/10/16, 22:00:00, 1.1150, 1.1161, 1.1149, 1.1159, 132, 114, 59, 73
2019/10/17, 02:00:00, 1.1158, 1.1160, 1.1152, 1.1152, 137, 107, 63, 74
2019/10/17, 06:00:00, 1.1152, 1.1169, 1.1141, 1.1166, 663, 476, 334, 329
2019/10/17, 10:00:00, 1.1167, 1.1216, 1.1167, 1.1193, 3205, 1999, 1735, 1470
2019/10/17, 14:00:00, 1.1194, 1.1209, 1.1187, 1.1203, 1865, 1025, 863, 1002
2019/10/17, 18:00:00, 1.1203, 1.1204, 1.1196, 1.1201, 332, 244, 164, 168
2019/10/17, 22:00:00, 1.1203, 1.1204, 1.1199, 1.1203, 41, 35, 20, 21
2019/10/18, 02:00:00, 1.1202, 1.1206, 1.1197, 1.1197, 133, 101, 41, 92
2019/10/18, 06:00:00, 1.1198, 1.1207, 1.1191, 1.1203, 434, 348, 218, 216
2019/10/18, 10:00:00, 1.1202, 1.1230, 1.1201, 1.1224, 1069, 717, 355, 714
2019/10/18, 14:00:00, 1.1224, 1.1235, 1.1211, 1.1233, 985, 804, 486, 499
2019/10/18, 18:00:00, 1.1234, 1.1247, 1.1232, 1.1246, 370, 326, 168, 202
2019/10/20, 22:00:00, 1.1232, 1.1237, 1.1226, 1.1236, 229, 152, 85, 144
2019/10/21, 02:00:00, 1.1236, 1.1236, 1.1231, 1.1234, 82, 69, 43, 39
2019/10/21, 06:00:00, 1.1232, 1.1255, 1.1225, 1.1242, 353, 315, 206, 147
2019/10/21, 10:00:00, 1.1242, 1.1248, 1.1236, 1.1236, 510, 433, 269, 241
2019/10/21, 14:00:00, 1.1236, 1.1237, 1.1214, 1.1226, 716, 640, 361, 355
2019/10/21, 18:00:00, 1.1227, 1.1228, 1.1220, 1.1226, 422, 314, 209, 213
2019/10/21, 22:00:00, 1.1226, 1.1228, 1.1223, 1.1228, 81, 67, 38, 43
2019/10/22, 02:00:00, 1.1228, 1.1231, 1.1222, 1.1226, 67, 66, 35, 32
2019/10/22, 06:00:00, 1.1227, 1.1230, 1.1207, 1.1215, 408, 349, 235, 173
2019/10/22, 10:00:00, 1.1216, 1.1222, 1.1198, 1.1202, 771, 661, 379, 392
2019/10/22, 14:00:00, 1.1202, 1.1220, 1.1200, 1.1214, 552, 488, 263, 289
2019/10/22, 18:00:00, 1.1214, 1.1227, 1.1192, 1.1198, 921, 685, 504, 417
2019/10/22, 22:00:00, 1.1199, 1.1203, 1.1198, 1.1199, 68, 54, 37, 31
2019/10/23, 02:00:00, 1.1199, 1.1199, 1.1188, 1.1194, 167, 139, 84, 83
2019/10/23, 06:00:00, 1.1194, 1.1201, 1.1191, 1.1192, 223, 185, 103, 120
2019/10/23, 10:00:00, 1.1191, 1.1198, 1.1179, 1.1196, 532, 454, 291, 241
2019/10/23, 14:00:00, 1.1195, 1.1198, 1.1185, 1.1194, 544, 450, 276, 268
2019/10/23, 18:00:00, 1.1194, 1.1213, 1.1192, 1.1203, 345, 285, 146, 199
2019/10/23, 22:00:00, 1.1204, 1.1204, 1.1200, 1.1202, 74, 44, 41, 33
2019/10/24, 02:00:00, 1.1204, 1.1212, 1.1204, 1.1205, 127, 98, 43, 84
2019/10/24, 06:00:00, 1.1204, 1.1233, 1.1194, 1.1202, 1164, 894, 528, 636
2019/10/24, 10:00:00, 1.1202, 1.1223, 1.1191, 1.1220, 629, 512, 306, 323
2019/10/24, 14:00:00, 1.1221, 1.1222, 1.1161, 1.1177, 1519, 1283, 848, 671
2019/10/24, 18:00:00, 1.1178, 1.1181, 1.1170, 1.1174, 268, 229, 124, 144
2019/10/24, 22:00:00, 1.1175, 1.1175, 1.1171, 1.1171, 27, 25, 16, 11
2019/10/25, 02:00:00, 1.1172, 1.1174, 1.1171, 1.1172, 31, 27, 15, 16
2019/10/25, 06:00:00, 1.1171, 1.1192, 1.1171, 1.1191, 745, 404, 319, 426
2019/10/25, 10:00:00, 1.1190, 1.1192, 1.1166, 1.1170, 486, 401, 256, 230
2019/10/25, 14:00:00, 1.1169, 1.1175, 1.1142, 1.1144, 683, 615, 380, 303
2019/10/25, 18:00:00, 1.1143, 1.1152, 1.1143, 1.1152, 191, 172, 102, 89
