Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/6/4, 00:00:00, 1.2210, 1.2290, 1.2207, 1.2244, 4690, 13564
2018/6/5, 00:00:00, 1.2242, 1.2277, 1.2197, 1.2259, 5684, 13493
2018/6/6, 00:00:00, 1.2262, 1.2340, 1.2259, 1.2312, 8210, 11935
2018/6/7, 00:00:00, 1.2320, 1.2382, 1.2317, 1.2349, 6121, 11832
2018/6/8, 00:00:00, 1.2342, 1.2351, 1.2269, 1.2312, 5743, 11459
2018/6/11, 00:00:00, 1.2315, 1.2361, 1.2309, 1.2328, 4384, 11148
2018/6/12, 00:00:00, 1.2321, 1.2349, 1.2273, 1.2290, 4860, 11122
2018/6/13, 00:00:00, 1.2285, 1.2339, 1.2264, 1.2312, 10594, 7067
2018/6/14, 00:00:00, 1.2331, 1.2390, 1.2100, 1.2129, 11514, 4977
2018/6/15, 00:00:00, 1.2112, 1.2164, 1.2080, 1.2143, 7909, 12463
2018/6/18, 00:00:00, 1.2133, 1.2162, 1.2101, 1.2152, 3830, 12517
2018/6/19, 00:00:00, 1.2156, 1.2181, 1.2067, 1.2110, 6833, 12552
2018/6/20, 00:00:00, 1.2121, 1.2133, 1.2071, 1.2120, 5311, 12625
2018/6/21, 00:00:00, 1.2108, 1.2165, 1.2039, 1.2155, 8271, 12979
2018/6/22, 00:00:00, 1.2137, 1.2207, 1.2131, 1.2194, 5974, 12910
2018/6/25, 00:00:00, 1.2198, 1.2244, 1.2160, 1.2235, 4295, 12646
2018/6/26, 00:00:00, 1.2232, 1.2254, 1.2164, 1.2180, 3641, 12596
2018/6/27, 00:00:00, 1.2175, 1.2201, 1.2069, 1.2085, 4335, 12670
2018/6/28, 00:00:00, 1.2084, 1.2126, 1.2052, 1.2081, 4194, 12648
2018/6/29, 00:00:00, 1.2086, 1.2214, 1.2083, 1.2193, 5702, 12605
2018/7/2, 00:00:00, 1.2189, 1.2204, 1.2113, 1.2132, 3635, 12583
2018/7/3, 00:00:00, 1.2158, 1.2194, 1.2143, 1.2171, 2810, 12559
2018/7/5, 00:00:00, 1.2180, 1.2238, 1.2149, 1.2198, 4907, 12565
