Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/9/19, 00:00:00, 1.2143, 1.2271, 1.2121, 1.2216, 54708, 4493
2018/9/24, 00:00:00, 1.2215, 1.2284, 1.2031, 1.2072, 92553, 6103
2018/10/1, 00:00:00, 1.2071, 1.2084, 1.1916, 1.1979, 83270, 6883
2018/10/8, 00:00:00, 1.1978, 1.2058, 1.1883, 1.2012, 74425, 7137
2018/10/15, 00:00:00, 1.2001, 1.2068, 1.1874, 1.1951, 67283, 8019
2018/10/22, 00:00:00, 1.1953, 1.1991, 1.1770, 1.1844, 73486, 8878
2018/10/29, 00:00:00, 1.1834, 1.1883, 1.1733, 1.1813, 82524, 9345
2018/11/5, 00:00:00, 1.1816, 1.1932, 1.1737, 1.1757, 72147, 9947
2018/11/12, 00:00:00, 1.1743, 1.1837, 1.1635, 1.1828, 91763, 10097
2018/11/19, 00:00:00, 1.1830, 1.1884, 1.1740, 1.1745, 55319, 10978
2018/11/26, 00:00:00, 1.1745, 1.1807, 1.1674, 1.1712, 68143, 11006
2018/12/3, 00:00:00, 1.1728, 1.1822, 1.1711, 1.1819, 75469, 10494
2018/12/10, 00:00:00, 1.1793, 1.1839, 1.1660, 1.1694, 72081, 4088
2018/12/17, 00:00:00, 1.1693, 1.1874, 1.1691, 1.1750, 67604, 5094
2018/12/24, 00:00:00, 1.1750, 1.1846, 1.1722, 1.1814, 47248, 5833
2018/12/31, 00:00:00, 1.1812, 1.1868, 1.1674, 1.1765, 63978, 5766
2019/1/7, 00:00:00, 1.1770, 1.1930, 1.1770, 1.1825, 79485, 7323
2019/1/14, 00:00:00, 1.1825, 1.1848, 1.1706, 1.1723, 64224, 8472
2019/1/22, 00:00:00, 1.1718, 1.1763, 1.1636, 1.1760, 59118, 8961
2019/1/28, 00:00:00, 1.1754, 1.1855, 1.1736, 1.1799, 59620, 9034
2019/2/4, 00:00:00, 1.1795, 1.1799, 1.1653, 1.1655, 42005, 9518
2019/2/11, 00:00:00, 1.1651, 1.1672, 1.1560, 1.1620, 52434, 10455
2019/2/19, 00:00:00, 1.1621, 1.1693, 1.1598, 1.1657, 51326, 10263
2019/2/25, 00:00:00, 1.1643, 1.1738, 1.1642, 1.1670, 55889, 10343
2019/3/4, 00:00:00, 1.1687, 1.1691, 1.1482, 1.1548, 61112, 10305
2019/3/11, 00:00:00, 1.1541, 1.1641, 1.1526, 1.1616, 46843, 3432
2019/3/18, 00:00:00, 1.1619, 1.1743, 1.1564, 1.1584, 64592, 5381
2019/3/25, 00:00:00, 1.1587, 1.1621, 1.1492, 1.1498, 56963, 6330
2019/4/1, 00:00:00, 1.1507, 1.1534, 1.1464, 1.1494, 51969, 6924
2019/4/8, 00:00:00, 1.1492, 1.1594, 1.1490, 1.1566, 59897, 6148
2019/4/15, 00:00:00, 1.1573, 1.1591, 1.1488, 1.1492, 55215, 7060
2019/4/22, 00:00:00, 1.1499, 1.1525, 1.1364, 1.1410, 69570, 8978
2019/4/29, 00:00:00, 1.1403, 1.1520, 1.1385, 1.1444, 68702, 10603
2019/5/6, 00:00:00, 1.1446, 1.1497, 1.1414, 1.1474, 56628, 11047
2019/5/13, 00:00:00, 1.1477, 1.1505, 1.1390, 1.1396, 47153, 13114
2019/5/20, 00:00:00, 1.1390, 1.1442, 1.1336, 1.1435, 42583, 12748
2019/5/28, 00:00:00, 1.1437, 1.1445, 1.1340, 1.1396, 37724, 13391
2019/6/3, 00:00:00, 1.1391, 1.1564, 1.1383, 1.1556, 66110, 13278
2019/6/10, 00:00:00, 1.1547, 1.1558, 1.1409, 1.1416, 48712, 4485
2019/6/17, 00:00:00, 1.1421, 1.1580, 1.1384, 1.1571, 75830, 6688
2019/6/24, 00:00:00, 1.1578, 1.1612, 1.1544, 1.1573, 55672, 6662
2019/7/1, 00:00:00, 1.1573, 1.1573, 1.1398, 1.1412, 54003, 7361
2019/7/8, 00:00:00, 1.1418, 1.1470, 1.1382, 1.1455, 44420, 8164
2019/7/15, 00:00:00, 1.1453, 1.1466, 1.1379, 1.1397, 46576, 8604
2019/7/22, 00:00:00, 1.1396, 1.1401, 1.1271, 1.1296, 52832, 9990
2019/7/29, 00:00:00, 1.1296, 1.1329, 1.1191, 1.1275, 50533, 9695
2019/8/5, 00:00:00, 1.1277, 1.1411, 1.1267, 1.1364, 56605, 8295
2019/8/12, 00:00:00, 1.1357, 1.1387, 1.1217, 1.1249, 51089, 9542
2019/8/19, 00:00:00, 1.1249, 1.1298, 1.1192, 1.1291, 43173, 10291
2019/8/26, 00:00:00, 1.1294, 1.1308, 1.1101, 1.1116, 37950, 11249
2019/9/3, 00:00:00, 1.1129, 1.1220, 1.1062, 1.1163, 38407, 10456
2019/9/9, 00:00:00, 1.1160, 1.1238, 1.1053, 1.1196, 50820, 4809
2019/9/16, 00:00:00, 1.1199, 1.1214, 1.1117, 1.1136, 44255, 7027
2019/9/23, 00:00:00, 1.1141, 1.1147, 1.1019, 1.1055, 42180, 8616
