Date, Time, Open, High, Low, Last, Volume, OpenInterest
2018/9/11, 00:00:00, 1.2058, 1.2184, 1.2028, 1.2090, 26471, 11540
2018/9/17, 00:00:00, 1.2082, 1.2255, 1.2073, 1.2200, 21743, 12184
2018/9/24, 00:00:00, 1.2198, 1.2267, 1.2015, 1.2056, 25851, 13258
2018/10/1, 00:00:00, 1.2056, 1.2069, 1.1900, 1.1963, 22806, 14035
2018/10/8, 00:00:00, 1.1961, 1.2042, 1.1867, 1.1996, 20941, 13839
2018/10/15, 00:00:00, 1.1984, 1.2052, 1.1858, 1.1935, 18975, 14023
2018/10/22, 00:00:00, 1.1940, 1.1975, 1.1754, 1.1828, 20697, 13848
2018/10/29, 00:00:00, 1.1818, 1.1867, 1.1717, 1.1797, 20927, 13923
2018/11/5, 00:00:00, 1.1801, 1.1916, 1.1722, 1.1741, 17631, 14303
2018/11/12, 00:00:00, 1.1728, 1.1820, 1.1620, 1.1812, 25552, 14629
2018/11/19, 00:00:00, 1.1817, 1.1869, 1.1724, 1.1729, 13831, 14717
2018/11/26, 00:00:00, 1.1729, 1.1791, 1.1658, 1.1696, 18028, 15185
2018/12/3, 00:00:00, 1.1715, 1.1805, 1.1695, 1.1803, 17199, 15386
2018/12/10, 00:00:00, 1.1779, 1.1823, 1.1645, 1.1679, 30587, 13366
2018/12/17, 00:00:00, 1.1681, 1.1859, 1.1678, 1.1735, 20819, 13337
2018/12/24, 00:00:00, 1.1734, 1.1830, 1.1707, 1.1799, 11277, 13584
2018/12/31, 00:00:00, 1.1795, 1.1851, 1.1660, 1.1750, 14948, 13705
2019/1/7, 00:00:00, 1.1758, 1.1915, 1.1756, 1.1810, 20462, 14380
2019/1/14, 00:00:00, 1.1807, 1.1832, 1.1691, 1.1708, 17696, 14649
2019/1/22, 00:00:00, 1.1695, 1.1749, 1.1621, 1.1745, 17975, 14917
2019/1/28, 00:00:00, 1.1740, 1.1839, 1.1721, 1.1784, 18594, 15138
2019/2/4, 00:00:00, 1.1780, 1.1783, 1.1638, 1.1640, 13316, 15437
2019/2/11, 00:00:00, 1.1635, 1.1656, 1.1543, 1.1605, 21430, 15848
2019/2/19, 00:00:00, 1.1601, 1.1678, 1.1584, 1.1642, 17861, 16572
2019/2/25, 00:00:00, 1.1638, 1.1718, 1.1638, 1.1655, 17705, 16850
2019/3/4, 00:00:00, 1.1672, 1.1676, 1.1468, 1.1533, 23345, 15992
2019/3/11, 00:00:00, 1.1524, 1.1629, 1.1512, 1.1604, 27210, 12737
2019/3/18, 00:00:00, 1.1608, 1.1731, 1.1552, 1.1572, 25788, 13657
2019/3/25, 00:00:00, 1.1573, 1.1609, 1.1479, 1.1486, 26777, 14267
2019/4/1, 00:00:00, 1.1496, 1.1522, 1.1451, 1.1482, 19023, 14682
2019/4/8, 00:00:00, 1.1479, 1.1582, 1.1478, 1.1554, 18914, 15126
2019/4/15, 00:00:00, 1.1560, 1.1578, 1.1477, 1.1480, 17453, 15082
2019/4/22, 00:00:00, 1.1484, 1.1512, 1.1354, 1.1398, 22513, 15846
2019/4/29, 00:00:00, 1.1392, 1.1507, 1.1373, 1.1432, 26993, 15760
2019/5/6, 00:00:00, 1.1424, 1.1484, 1.1402, 1.1462, 22633, 15921
2019/5/13, 00:00:00, 1.1467, 1.1494, 1.1378, 1.1384, 16148, 16257
2019/5/20, 00:00:00, 1.1381, 1.1429, 1.1324, 1.1423, 20335, 16758
2019/5/28, 00:00:00, 1.1425, 1.1432, 1.1328, 1.1384, 13372, 16955
2019/6/3, 00:00:00, 1.1379, 1.1552, 1.1371, 1.1544, 22465, 17121
2019/6/10, 00:00:00, 1.1533, 1.1545, 1.1391, 1.1397, 31695, 12200
2019/6/17, 00:00:00, 1.1400, 1.1561, 1.1368, 1.1552, 37275, 13684
2019/6/24, 00:00:00, 1.1557, 1.1593, 1.1525, 1.1554, 35449, 14140
2019/7/1, 00:00:00, 1.1541, 1.1546, 1.1378, 1.1393, 24136, 14481
2019/7/8, 00:00:00, 1.1396, 1.1450, 1.1362, 1.1436, 17170, 15082
2019/7/15, 00:00:00, 1.1434, 1.1447, 1.1361, 1.1378, 15422, 15259
2019/7/22, 00:00:00, 1.1377, 1.1383, 1.1253, 1.1277, 17610, 15540
2019/7/29, 00:00:00, 1.1279, 1.1312, 1.1171, 1.1256, 19465, 15670
2019/8/5, 00:00:00, 1.1255, 1.1392, 1.1248, 1.1345, 25492, 16607
2019/8/12, 00:00:00, 1.1338, 1.1368, 1.1198, 1.1230, 18391, 16849
2019/8/19, 00:00:00, 1.1224, 1.1279, 1.1177, 1.1272, 15946, 17035
2019/8/26, 00:00:00, 1.1272, 1.1289, 1.1082, 1.1097, 13829, 17421
2019/9/3, 00:00:00, 1.1104, 1.1198, 1.1044, 1.1144, 16560, 17422
2019/9/9, 00:00:00, 1.1141, 1.1216, 1.1035, 1.1175, 33319, 13927
2019/9/16, 00:00:00, 1.1180, 1.1196, 1.1097, 1.1115, 16817, 15432
2019/9/23, 00:00:00, 1.1118, 1.1126, 1.0999, 1.1034, 18433, 15482
2019/9/30, 00:00:00, 1.1033, 1.1089, 1.0972, 1.1070, 16974, 15894
2019/10/7, 00:00:00, 1.1066, 1.1144, 1.1025, 1.1123, 15341, 16081
2019/10/14, 00:00:00, 1.1117, 1.1247, 1.1070, 1.1237, 20624, 16916
2019/10/21, 00:00:00, 1.1232, 1.1255, 1.1142, 1.1151, 12935, 17692
2019/10/28, 00:00:00, 1.1150, 1.1241, 1.1142, 1.1228, 13226, 18130
2019/11/4, 00:00:00, 1.1229, 1.1238, 1.1074, 1.1082, 13242, 18011
2019/11/11, 00:00:00, 1.1078, 1.1109, 1.1043, 1.1106, 10818, 18165
2019/11/18, 00:00:00, 1.1104, 1.1145, 1.1062, 1.1069, 11911, 18103
2019/11/25, 00:00:00, 1.1068, 1.1079, 1.1024, 1.1060, 11060, 18370
2019/12/2, 00:00:00, 1.1062, 1.1156, 1.1046, 1.1094, 14877, 18139
2019/12/9, 00:00:00, 1.1095, 1.1263, 1.1088, 1.1191, 32617, 14721
2019/12/16, 00:00:00, 1.1198, 1.1244, 1.1131, 1.1140, 11882, 15159
2019/12/23, 00:00:00, 1.1140, 1.1247, 1.1131, 1.1245, 7365, 15564
2019/12/30, 00:00:00, 1.1237, 1.1295, 1.1174, 1.1217, 10191, 15699
2020/1/6, 00:00:00, 1.1208, 1.1255, 1.1128, 1.1166, 13151, 16466
2020/1/13, 00:00:00, 1.1161, 1.1212, 1.1123, 1.1133, 10900, 16175
2020/1/21, 00:00:00, 1.1128, 1.1156, 1.1107, 1.1118, 6542, 0
