,,,45.25,-51.75,,,,,,,,,,,,,
0,0,,,,6.75,6.75,16,,1,0.25,0,,0,,,,1
0,0,,,,-5.25,5.25,12,,0.5,0.25,0,,0,,,,2
0,0,,,,20.5,20.5,34,,,0.25,0,,0,,,,
6.75,16,,,,-6,6,8,,,0.25,54,,,,,,
0,0,,,,45.25,45.25,92,,,0.25,,,,,,,
0,0,,,,-11.25,11.25,7,,,,,,,,,,
0,0,,,,9.75,9.75,11,,,,,,,,,,
0,0,,,,-8.5,8.5,19,,,,,,,,,,
0,0,,,,9.25,9.25,14,,,,,,,,,,
0,0,,,,-22.25,22.25,16,,,,,,,,,,
0,0,,,,27.5,27.5,12,,,,,,,,,,
0,0,,,,-7,7,12,,,,,,,,,,
0,0,,,,12.75,12.75,41,,,,,,,,,,
0,0,,,,-8,8,14,,,,,,,,,,
0,0,,,,6.5,6.5,4,,,,,,,,,,
0,0,,,,-12.25,12.25,10,,,,,,,,,,
0,0,,,,31.25,31.25,20,,,,,,,,,,
0,0,,,,-19,19,13,,,,,,,,,,
0,0,,,,7.5,7.5,2,,,,,,,,,,
-5.25,12,,,,-7,7,4,,,,,,,,,,
0,0,,,,11.25,11.25,4,,,,,,,,,,
0,0,,,,-12.75,12.75,12,,,,,,,,,,
0,0,,,,7,7,1,,,,,,,,,,
0,0,,,,-17.25,17.25,8,,,,,,,,,,
0,0,,,,11,11,4,,,,,,,,,,
0,0,,,,-43.75,43.75,29,,,,,,,,,,
0,0,,,,5.5,5.5,7,,,,,,,,,,
0,0,,,,-6.25,6.25,12,,,,,,,,,,
0,0,,,,13,13,25,,,,,,,,,,
0,0,,,,-27.25,27.25,45,,,,,,,,,,
0,0,,,,30,30,18,,,,,,,,,,
20.5,34,,,,-6.25,6.25,1,,,,,,,,,,
0,0,,,,25,25,27,,,,,,,,,,
0,0,,,,-16.5,16.5,11,,,,,,,,,,
0,0,,,,19.25,19.25,12,,,,,,,,,,
0,0,,,,-21.25,21.25,9,,,,,,,,,,
0,0,,,,15,15,8,,,,,,,,,,
0,0,,,,-6.25,6.25,5,,,,,,,,,,
0,0,,,,11.25,11.25,32,,,,,,,,,,
0,0,,,,-14,14,24,,,,,,,,,,
0,0,,,,17.75,17.75,21,,,,,,,,,,
0,0,,,,-51.75,51.75,41,,,,,,,,,,
0,0,,,,19.75,19.75,46,,,,,,,,,,
0,0,,,,-19.25,19.25,35,,,,,,,,,,
0,0,,,,9.5,9.5,27,,,,,,,,,,
0,0,,,,-7.25,7.25,18,,,,,,,,,,
0,0,,,,13.25,13.25,28,,,,,,,,,,
0,0,,,,-9,9,15,,,,,,,,,,
0,0,,,,11.5,11.5,13,,,,,,,,,,
0,0,,,,-7.75,7.75,15,,,,,,,,,,
0,0,,,,27.5,27.5,33,,,,,,,,,,
0,0,,,,-8.25,8.25,22,,,,,,,,,,
0,0,,,,18.25,18.25,18,,,,,,,,,,
0,0,,,,-7.75,7.75,19,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,
